Number,Title,Acceptance,Difficulty,Link
1,Two Sum,55.9%,Easy,https://leetcode.com/problems/two-sum/
2,Add Two Numbers,46.4%,Medium,https://leetcode.com/problems/add-two-numbers/
42,Trapping Rain Water,65.2%,Hard,https://leetcode.com/problems/trapping-rain-water/
9,Palindrome Number,59.3%,Easy,https://leetcode.com/problems/palindrome-number/
560,Subarray Sum Equals K,45.6%,Medium,https://leetcode.com/problems/subarray-sum-equals-k/
3574,Maximize Subarray GCD Score,21.5%,Hard,https://leetcode.com/problems/maximize-subarray-gcd-score/
3597,Partition String,55.7%,Medium,https://leetcode.com/problems/partition-string/
13,Roman to Integer,65.0%,Easy,https://leetcode.com/problems/roman-to-integer/
51,N-Queens,73.0%,Hard,https://leetcode.com/problems/n-queens/
121,Best Time to Buy and Sell Stock,55.3%,Easy,https://leetcode.com/problems/best-time-to-buy-and-sell-stock/
14,Longest Common Prefix,45.6%,Easy,https://leetcode.com/problems/longest-common-prefix/
56,Merge Intervals,49.5%,Medium,https://leetcode.com/problems/merge-intervals/
1944,Number of Visible People in a Queue,71.4%,Hard,https://leetcode.com/problems/number-of-visible-people-in-a-queue/
3,Longest Substring Without Repeating Characters,37.0%,Medium,https://leetcode.com/problems/longest-substring-without-repeating-characters/
4,Median of Two Sorted Arrays,44.0%,Hard,https://leetcode.com/problems/median-of-two-sorted-arrays/
31,Next Permutation,43.2%,Medium,https://leetcode.com/problems/next-permutation/
5,Longest Palindromic Substring,35.9%,Medium,https://leetcode.com/problems/longest-palindromic-substring/
15,3Sum,37.2%,Medium,https://leetcode.com/problems/3sum/
22,Generate Parentheses,77.2%,Medium,https://leetcode.com/problems/generate-parentheses/
78,Subsets,81.0%,Medium,https://leetcode.com/problems/subsets/
136,Single Number,76.1%,Easy,https://leetcode.com/problems/single-number/
162,Find Peak Element,46.5%,Medium,https://leetcode.com/problems/find-peak-element/
242,Valid Anagram,66.8%,Easy,https://leetcode.com/problems/valid-anagram/
7,Reverse Integer,30.4%,Medium,https://leetcode.com/problems/reverse-integer/
10,Regular Expression Matching,29.3%,Hard,https://leetcode.com/problems/regular-expression-matching/
11,Container With Most Water,57.9%,Medium,https://leetcode.com/problems/container-with-most-water/
21,Merge Two Sorted Lists,66.9%,Easy,https://leetcode.com/problems/merge-two-sorted-lists/
33,Search in Rotated Sorted Array,42.9%,Medium,https://leetcode.com/problems/search-in-rotated-sorted-array/
128,Longest Consecutive Sequence,47.0%,Medium,https://leetcode.com/problems/longest-consecutive-sequence/
206,Reverse Linked List,79.3%,Easy,https://leetcode.com/problems/reverse-linked-list/
2200,Find All K-Distant Indices in an Array,77.4%,Easy,https://leetcode.com/problems/find-all-k-distant-indices-in-an-array/
2235,Add Two Integers,88.1%,Easy,https://leetcode.com/problems/add-two-integers/
3304,Find the K-th Character in String Game I,81.8%,Easy,https://leetcode.com/problems/find-the-k-th-character-in-string-game-i/
3330,Find the Original Typed String I,72.0%,Easy,https://leetcode.com/problems/find-the-original-typed-string-i/
3333,Find the Original Typed String II,46.7%,Hard,https://leetcode.com/problems/find-the-original-typed-string-ii/
3593,Minimum Increments to Equalize Leaf Paths,40.6%,Medium,https://leetcode.com/problems/minimum-increments-to-equalize-leaf-paths/
6,Zigzag Conversion,51.7%,Medium,https://leetcode.com/problems/zigzag-conversion/
16,3Sum Closest,47.0%,Medium,https://leetcode.com/problems/3sum-closest/
46,Permutations,80.7%,Medium,https://leetcode.com/problems/permutations/
49,Group Anagrams,71.0%,Medium,https://leetcode.com/problems/group-anagrams/
