Number,Title,Acceptance,Difficulty,Link
48,Rotate Image,78.0%,Medium,https://leetcode.com/problems/rotate-image/
75,Sort Colors,67.7%,Medium,https://leetcode.com/problems/sort-colors/
135,Candy,46.8%,Hard,https://leetcode.com/problems/candy/
206,Reverse Linked List,79.3%,Easy,https://leetcode.com/problems/reverse-linked-list/
224,Basic Calculator,45.7%,Hard,https://leetcode.com/problems/basic-calculator/
242,Valid Anagram,66.8%,Easy,https://leetcode.com/problems/valid-anagram/
3481,Apply Substitutions,78.4%,Medium,https://leetcode.com/problems/apply-substitutions/
6,Zigzag Conversion,51.7%,Medium,https://leetcode.com/problems/zigzag-conversion/
7,Reverse Integer,30.4%,Medium,https://leetcode.com/problems/reverse-integer/
34,Find First and Last Position of Element in Sorted Array,47.0%,Medium,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array/
53,Maximum Subarray,52.2%,Medium,https://leetcode.com/problems/maximum-subarray/
73,Set Matrix Zeroes,60.9%,Medium,https://leetcode.com/problems/set-matrix-zeroes/
118,Pascal's Triangle,77.1%,Easy,https://leetcode.com/problems/pascals-triangle/
146,LRU Cache,45.3%,Medium,https://leetcode.com/problems/lru-cache/
189,Rotate Array,43.1%,Medium,https://leetcode.com/problems/rotate-array/
202,Happy Number,58.2%,Easy,https://leetcode.com/problems/happy-number/
253,Meeting Rooms II,52.2%,Medium,https://leetcode.com/problems/meeting-rooms-ii/
326,Power of Three,48.1%,Easy,https://leetcode.com/problems/power-of-three/
354,Russian Doll Envelopes,37.3%,Hard,https://leetcode.com/problems/russian-doll-envelopes/
3537,Fill a Special Grid,69.9%,Medium,https://leetcode.com/problems/fill-a-special-grid/
41,First Missing Positive,41.2%,Hard,https://leetcode.com/problems/first-missing-positive/
54,Spiral Matrix,54.1%,Medium,https://leetcode.com/problems/spiral-matrix/
55,Jump Game,39.6%,Medium,https://leetcode.com/problems/jump-game/
84,Largest Rectangle in Histogram,47.6%,Hard,https://leetcode.com/problems/largest-rectangle-in-histogram/
100,Same Tree,65.3%,Easy,https://leetcode.com/problems/same-tree/
2337,Move Pieces to Obtain a String,56.8%,Medium,https://leetcode.com/problems/move-pieces-to-obtain-a-string/
3574,Maximize Subarray GCD Score,21.5%,Hard,https://leetcode.com/problems/maximize-subarray-gcd-score/
3597,Partition String,55.7%,Medium,https://leetcode.com/problems/partition-string/
10,Regular Expression Matching,29.3%,Hard,https://leetcode.com/problems/regular-expression-matching/
23,Merge k Sorted Lists,56.9%,Hard,https://leetcode.com/problems/merge-k-sorted-lists/
29,Divide Two Integers,18.5%,Medium,https://leetcode.com/problems/divide-two-integers/
36,Valid Sudoku,62.4%,Medium,https://leetcode.com/problems/valid-sudoku/
49,Group Anagrams,71.0%,Medium,https://leetcode.com/problems/group-anagrams/
50,"Pow(x, n)",37.1%,Medium,"https://leetcode.com/problems/pow(x,-n)/"
62,Unique Paths,65.8%,Medium,https://leetcode.com/problems/unique-paths/
85,Maximal Rectangle,53.9%,Hard,https://leetcode.com/problems/maximal-rectangle/
169,Majority Element,65.8%,Easy,https://leetcode.com/problems/majority-element/
198,House Robber,52.4%,Medium,https://leetcode.com/problems/house-robber/
231,Power of Two,48.4%,Easy,https://leetcode.com/problems/power-of-two/
300,Longest Increasing Subsequence,57.9%,Medium,https://leetcode.com/problems/longest-increasing-subsequence/
328,Odd Even Linked List,62.0%,Medium,https://leetcode.com/problems/odd-even-linked-list/
440,K-th Smallest in Lexicographical Order,45.9%,Hard,https://leetcode.com/problems/k-th-smallest-in-lexicographical-order/
485,Max Consecutive Ones,62.6%,Easy,https://leetcode.com/problems/max-consecutive-ones/
509,Fibonacci Number,73.0%,Easy,https://leetcode.com/problems/fibonacci-number/
540,Single Element in a Sorted Array,59.2%,Medium,https://leetcode.com/problems/single-element-in-a-sorted-array/
621,Task Scheduler,61.6%,Medium,https://leetcode.com/problems/task-scheduler/
3250,Find the Count of Monotonic Pairs I,46.6%,Hard,https://leetcode.com/problems/find-the-count-of-monotonic-pairs-i/
3453,Separate Squares I,38.3%,Medium,https://leetcode.com/problems/separate-squares-i/
3529,Count Cells in Overlapping Horizontal and Vertical Substrings,22.8%,Medium,https://leetcode.com/problems/count-cells-in-overlapping-horizontal-and-vertical-substrings/
16,3Sum Closest,47.0%,Medium,https://leetcode.com/problems/3sum-closest/
19,Remove Nth Node From End of List,49.1%,Medium,https://leetcode.com/problems/remove-nth-node-from-end-of-list/
27,Remove Element,60.1%,Easy,https://leetcode.com/problems/remove-element/
35,Search Insert Position,49.1%,Easy,https://leetcode.com/problems/search-insert-position/
221,Maximal Square,48.9%,Medium,https://leetcode.com/problems/maximal-square/
359,Logger Rate Limiter,76.6%,Easy,https://leetcode.com/problems/logger-rate-limiter/
543,Diameter of Binary Tree,63.7%,Easy,https://leetcode.com/problems/diameter-of-binary-tree/
680,Valid Palindrome II,43.1%,Easy,https://leetcode.com/problems/valid-palindrome-ii/
692,Top K Frequent Words,59.3%,Medium,https://leetcode.com/problems/top-k-frequent-words/
1102,Path With Maximum Minimum Value,54.1%,Medium,https://leetcode.com/problems/path-with-maximum-minimum-value/
3024,Type of Triangle,44.7%,Easy,https://leetcode.com/problems/type-of-triangle/
33,Search in Rotated Sorted Array,42.9%,Medium,https://leetcode.com/problems/search-in-rotated-sorted-array/
66,Plus One,47.6%,Easy,https://leetcode.com/problems/plus-one/
76,Minimum Window Substring,45.5%,Hard,https://leetcode.com/problems/minimum-window-substring/
122,Best Time to Buy and Sell Stock II,69.6%,Medium,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii/
124,Binary Tree Maximum Path Sum,41.3%,Hard,https://leetcode.com/problems/binary-tree-maximum-path-sum/
125,Valid Palindrome,51.1%,Easy,https://leetcode.com/problems/valid-palindrome/
131,Palindrome Partitioning,72.3%,Medium,https://leetcode.com/problems/palindrome-partitioning/
141,Linked List Cycle,52.7%,Easy,https://leetcode.com/problems/linked-list-cycle/
155,Min Stack,56.5%,Medium,https://leetcode.com/problems/min-stack/
215,Kth Largest Element in an Array,68.1%,Medium,https://leetcode.com/problems/kth-largest-element-in-an-array/
347,Top K Frequent Elements,64.7%,Medium,https://leetcode.com/problems/top-k-frequent-elements/
368,Largest Divisible Subset,48.9%,Medium,https://leetcode.com/problems/largest-divisible-subset/
416,Partition Equal Subset Sum,48.5%,Medium,https://leetcode.com/problems/partition-equal-subset-sum/
442,Find All Duplicates in an Array,76.4%,Medium,https://leetcode.com/problems/find-all-duplicates-in-an-array/
460,LFU Cache,46.8%,Hard,https://leetcode.com/problems/lfu-cache/
547,Number of Provinces,68.8%,Medium,https://leetcode.com/problems/number-of-provinces/
594,Longest Harmonious Subsequence,63.6%,Easy,https://leetcode.com/problems/longest-harmonious-subsequence/
605,Can Place Flowers,28.9%,Easy,https://leetcode.com/problems/can-place-flowers/
704,Binary Search,59.6%,Easy,https://leetcode.com/problems/binary-search/
715,Range Module,44.2%,Hard,https://leetcode.com/problems/range-module/
1004,Max Consecutive Ones III,66.1%,Medium,https://leetcode.com/problems/max-consecutive-ones-iii/
2188,Minimum Time to Finish the Race,42.3%,Hard,https://leetcode.com/problems/minimum-time-to-finish-the-race/
3355,Zero Array Transformation I,54.4%,Medium,https://leetcode.com/problems/zero-array-transformation-i/
28,Find the Index of the First Occurrence in a String,45.1%,Easy,https://leetcode.com/problems/find-the-index-of-the-first-occurrence-in-a-string/
46,Permutations,80.7%,Medium,https://leetcode.com/problems/permutations/
67,Add Binary,55.8%,Easy,https://leetcode.com/problems/add-binary/
81,Search in Rotated Sorted Array II,38.9%,Medium,https://leetcode.com/problems/search-in-rotated-sorted-array-ii/
152,Maximum Product Subarray,35.0%,Medium,https://leetcode.com/problems/maximum-product-subarray/
204,Count Primes,34.9%,Medium,https://leetcode.com/problems/count-primes/
268,Missing Number,70.2%,Easy,https://leetcode.com/problems/missing-number/
273,Integer to English Words,34.4%,Hard,https://leetcode.com/problems/integer-to-english-words/
410,Split Array Largest Sum,58.3%,Hard,https://leetcode.com/problems/split-array-largest-sum/
443,String Compression,58.2%,Medium,https://leetcode.com/problems/string-compression/
493,Reverse Pairs,32.3%,Hard,https://leetcode.com/problems/reverse-pairs/
494,Target Sum,50.9%,Medium,https://leetcode.com/problems/target-sum/
907,Sum of Subarray Minimums,37.7%,Medium,https://leetcode.com/problems/sum-of-subarray-minimums/
2040,Kth Smallest Product of Two Sorted Arrays,49.1%,Hard,https://leetcode.com/problems/kth-smallest-product-of-two-sorted-arrays/
2877,Create a DataFrame from List,81.5%,Easy,https://leetcode.com/problems/create-a-dataframe-from-list/
8,String to Integer (atoi),19.3%,Medium,https://leetcode.com/problems/string-to-integer-(atoi)/
25,Reverse Nodes in k-Group,63.2%,Hard,https://leetcode.com/problems/reverse-nodes-in-k-group/
58,Length of Last Word,56.5%,Easy,https://leetcode.com/problems/length-of-last-word/
64,Minimum Path Sum,66.6%,Medium,https://leetcode.com/problems/minimum-path-sum/
68,Text Justification,48.3%,Hard,https://leetcode.com/problems/text-justification/
69,Sqrt(x),40.4%,Easy,https://leetcode.com/problems/sqrt(x)/
90,Subsets II,59.6%,Medium,https://leetcode.com/problems/subsets-ii/
102,Binary Tree Level Order Traversal,70.7%,Medium,https://leetcode.com/problems/binary-tree-level-order-traversal/
137,Single Number II,65.4%,Medium,https://leetcode.com/problems/single-number-ii/
139,Word Break,48.3%,Medium,https://leetcode.com/problems/word-break/
142,Linked List Cycle II,55.1%,Medium,https://leetcode.com/problems/linked-list-cycle-ii/
143,Reorder List,62.7%,Medium,https://leetcode.com/problems/reorder-list/
153,Find Minimum in Rotated Sorted Array,52.7%,Medium,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array/
167,Two Sum II - Input Array Is Sorted,63.5%,Medium,https://leetcode.com/problems/two-sum-ii---input-array-is-sorted/
207,Course Schedule,49.4%,Medium,https://leetcode.com/problems/course-schedule/
236,Lowest Common Ancestor of a Binary Tree,66.9%,Medium,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree/
350,Intersection of Two Arrays II,59.1%,Easy,https://leetcode.com/problems/intersection-of-two-arrays-ii/
371,Sum of Two Integers,53.8%,Medium,https://leetcode.com/problems/sum-of-two-integers/
380,Insert Delete GetRandom O(1),55.0%,Medium,https://leetcode.com/problems/insert-delete-getrandom-o(1)/
402,Remove K Digits,35.1%,Medium,https://leetcode.com/problems/remove-k-digits/
503,Next Greater Element II,66.5%,Medium,https://leetcode.com/problems/next-greater-element-ii/
567,Permutation in String,47.3%,Medium,https://leetcode.com/problems/permutation-in-string/
658,Find K Closest Elements,48.7%,Medium,https://leetcode.com/problems/find-k-closest-elements/
852,Peak Index in a Mountain Array,67.5%,Medium,https://leetcode.com/problems/peak-index-in-a-mountain-array/
994,Rotting Oranges,56.8%,Medium,https://leetcode.com/problems/rotting-oranges/
1148,Article Views I,77.1%,Easy,https://leetcode.com/problems/article-views-i/
1834,Single-Threaded CPU,46.5%,Medium,https://leetcode.com/problems/single-threaded-cpu/
1920,Build Array from Permutation,91.1%,Easy,https://leetcode.com/problems/build-array-from-permutation/
1931,Painting a Grid With Three Different Colors,78.4%,Hard,https://leetcode.com/problems/painting-a-grid-with-three-different-colors/
2200,Find All K-Distant Indices in an Array,77.4%,Easy,https://leetcode.com/problems/find-all-k-distant-indices-in-an-array/
2203,Minimum Weighted Subgraph With the Required Paths,38.8%,Hard,https://leetcode.com/problems/minimum-weighted-subgraph-with-the-required-paths/
2332,The Latest Time to Catch a Bus,28.7%,Medium,https://leetcode.com/problems/the-latest-time-to-catch-a-bus/
2929,Distribute Candies Among Children II,56.0%,Medium,https://leetcode.com/problems/distribute-candies-among-children-ii/
2966,Divide Array Into Arrays With Max Difference,78.7%,Medium,https://leetcode.com/problems/divide-array-into-arrays-with-max-difference/
3304,Find the K-th Character in String Game I,81.8%,Easy,https://leetcode.com/problems/find-the-k-th-character-in-string-game-i/
3330,Find the Original Typed String I,72.0%,Easy,https://leetcode.com/problems/find-the-original-typed-string-i/
3333,Find the Original Typed String II,46.7%,Hard,https://leetcode.com/problems/find-the-original-typed-string-ii/
3592,Inverse Coin Change,48.6%,Medium,https://leetcode.com/problems/inverse-coin-change/
3593,Minimum Increments to Equalize Leaf Paths,40.6%,Medium,https://leetcode.com/problems/minimum-increments-to-equalize-leaf-paths/
12,Integer to Roman,68.8%,Medium,https://leetcode.com/problems/integer-to-roman/
24,Swap Nodes in Pairs,67.3%,Medium,https://leetcode.com/problems/swap-nodes-in-pairs/
30,Substring with Concatenation of All Words,33.0%,Hard,https://leetcode.com/problems/substring-with-concatenation-of-all-words/
39,Combination Sum,74.8%,Medium,https://leetcode.com/problems/combination-sum/
40,Combination Sum II,57.8%,Medium,https://leetcode.com/problems/combination-sum-ii/
74,Search a 2D Matrix,52.4%,Medium,https://leetcode.com/problems/search-a-2d-matrix/
79,Word Search,45.4%,Medium,https://leetcode.com/problems/word-search/
86,Partition List,59.1%,Medium,https://leetcode.com/problems/partition-list/
99,Recover Binary Search Tree,56.6%,Medium,https://leetcode.com/problems/recover-binary-search-tree/
103,Binary Tree Zigzag Level Order Traversal,61.8%,Medium,https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal/
104,Maximum Depth of Binary Tree,77.2%,Easy,https://leetcode.com/problems/maximum-depth-of-binary-tree/
151,Reverse Words in a String,52.2%,Medium,https://leetcode.com/problems/reverse-words-in-a-string/
168,Excel Sheet Column Title,43.7%,Easy,https://leetcode.com/problems/excel-sheet-column-title/
199,Binary Tree Right Side View,67.3%,Medium,https://leetcode.com/problems/binary-tree-right-side-view/
209,Minimum Size Subarray Sum,49.5%,Medium,https://leetcode.com/problems/minimum-size-subarray-sum/
213,House Robber II,43.7%,Medium,https://leetcode.com/problems/house-robber-ii/
217,Contains Duplicate,63.3%,Easy,https://leetcode.com/problems/contains-duplicate/
219,Contains Duplicate II,49.2%,Easy,https://leetcode.com/problems/contains-duplicate-ii/
234,Palindrome Linked List,56.0%,Easy,https://leetcode.com/problems/palindrome-linked-list/
258,Add Digits,68.0%,Easy,https://leetcode.com/problems/add-digits/
282,Expression Add Operators,41.8%,Hard,https://leetcode.com/problems/expression-add-operators/
295,Find Median from Data Stream,53.4%,Hard,https://leetcode.com/problems/find-median-from-data-stream/
306,Additive Number,32.6%,Medium,https://leetcode.com/problems/additive-number/
349,Intersection of Two Arrays,76.5%,Easy,https://leetcode.com/problems/intersection-of-two-arrays/
415,Add Strings,51.9%,Easy,https://leetcode.com/problems/add-strings/
435,Non-overlapping Intervals,55.6%,Medium,https://leetcode.com/problems/non-overlapping-intervals/
455,Assign Cookies,54.0%,Easy,https://leetcode.com/problems/assign-cookies/
695,Max Area of Island,73.2%,Medium,https://leetcode.com/problems/max-area-of-island/
743,Network Delay Time,57.7%,Medium,https://leetcode.com/problems/network-delay-time/
787,Cheapest Flights Within K Stops,40.5%,Medium,https://leetcode.com/problems/cheapest-flights-within-k-stops/
1101,The Earliest Moment When Everyone Become Friends,65.7%,Medium,https://leetcode.com/problems/the-earliest-moment-when-everyone-become-friends/
1110,Delete Nodes And Return Forest,72.4%,Medium,https://leetcode.com/problems/delete-nodes-and-return-forest/
1128,Number of Equivalent Domino Pairs,60.6%,Easy,https://leetcode.com/problems/number-of-equivalent-domino-pairs/
1293,Shortest Path in a Grid with Obstacles Elimination,45.7%,Hard,https://leetcode.com/problems/shortest-path-in-a-grid-with-obstacles-elimination/
1394,Find Lucky Integer in an Array,75.2%,Easy,https://leetcode.com/problems/find-lucky-integer-in-an-array/
1482,Minimum Number of Days to Make m Bouquets,55.5%,Medium,https://leetcode.com/problems/minimum-number-of-days-to-make-m-bouquets/
2081,Sum of k-Mirror Numbers,63.8%,Hard,https://leetcode.com/problems/sum-of-k-mirror-numbers/
2444,Count Subarrays With Fixed Bounds,69.4%,Hard,https://leetcode.com/problems/count-subarrays-with-fixed-bounds/
2563,Count the Number of Fair Pairs,52.9%,Medium,https://leetcode.com/problems/count-the-number-of-fair-pairs/
2616,Minimize the Maximum Difference of Pairs,50.9%,Medium,https://leetcode.com/problems/minimize-the-maximum-difference-of-pairs/
2918,Minimum Equal Sum of Two Arrays After Replacing Zeros,50.2%,Medium,https://leetcode.com/problems/minimum-equal-sum-of-two-arrays-after-replacing-zeros/
3341,Find Minimum Time to Reach Last Room I,55.7%,Medium,https://leetcode.com/problems/find-minimum-time-to-reach-last-room-i/
37,Sudoku Solver,64.0%,Hard,https://leetcode.com/problems/sudoku-solver/
44,Wildcard Matching,30.0%,Hard,https://leetcode.com/problems/wildcard-matching/
60,Permutation Sequence,50.1%,Hard,https://leetcode.com/problems/permutation-sequence/
63,Unique Paths II,43.2%,Medium,https://leetcode.com/problems/unique-paths-ii/
120,Triangle,59.4%,Medium,https://leetcode.com/problems/triangle/
134,Gas Station,46.5%,Medium,https://leetcode.com/problems/gas-station/
138,Copy List with Random Pointer,60.7%,Medium,https://leetcode.com/problems/copy-list-with-random-pointer/
148,Sort List,62.0%,Medium,https://leetcode.com/problems/sort-list/
154,Find Minimum in Rotated Sorted Array II,44.1%,Hard,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array-ii/
175,Combine Two Tables,78.1%,Easy,https://leetcode.com/problems/combine-two-tables/
177,Nth Highest Salary,38.1%,Medium,https://leetcode.com/problems/nth-highest-salary/
180,Consecutive Numbers,46.2%,Medium,https://leetcode.com/problems/consecutive-numbers/
181,Employees Earning More Than Their Managers,71.6%,Easy,https://leetcode.com/problems/employees-earning-more-than-their-managers/
205,Isomorphic Strings,47.0%,Easy,https://leetcode.com/problems/isomorphic-strings/
222,Count Complete Tree Nodes,70.2%,Easy,https://leetcode.com/problems/count-complete-tree-nodes/
226,Invert Binary Tree,79.1%,Easy,https://leetcode.com/problems/invert-binary-tree/
227,Basic Calculator II,45.9%,Medium,https://leetcode.com/problems/basic-calculator-ii/
238,Product of Array Except Self,67.8%,Medium,https://leetcode.com/problems/product-of-array-except-self/
292,Nim Game,58.2%,Easy,https://leetcode.com/problems/nim-game/
303,Range Sum Query - Immutable,68.8%,Easy,https://leetcode.com/problems/range-sum-query---immutable/
312,Burst Balloons,61.5%,Hard,https://leetcode.com/problems/burst-balloons/
386,Lexicographical Numbers,76.0%,Medium,https://leetcode.com/problems/lexicographical-numbers/
387,First Unique Character in a String,63.8%,Easy,https://leetcode.com/problems/first-unique-character-in-a-string/
392,Is Subsequence,48.4%,Easy,https://leetcode.com/problems/is-subsequence/
408,Valid Word Abbreviation,36.9%,Easy,https://leetcode.com/problems/valid-word-abbreviation/
417,Pacific Atlantic Water Flow,57.6%,Medium,https://leetcode.com/problems/pacific-atlantic-water-flow/
448,Find All Numbers Disappeared in an Array,62.5%,Easy,https://leetcode.com/problems/find-all-numbers-disappeared-in-an-array/
539,Minimum Time Difference,62.4%,Medium,https://leetcode.com/problems/minimum-time-difference/
570,Managers with at Least 5 Direct Reports,48.9%,Medium,https://leetcode.com/problems/managers-with-at-least-5-direct-reports/
577,Employee Bonus,77.0%,Easy,https://leetcode.com/problems/employee-bonus/
633,Sum of Square Numbers,36.5%,Medium,https://leetcode.com/problems/sum-of-square-numbers/
733,Flood Fill,66.6%,Easy,https://leetcode.com/problems/flood-fill/
739,Daily Temperatures,67.4%,Medium,https://leetcode.com/problems/daily-temperatures/
778,Swim in Rising Water,63.0%,Hard,https://leetcode.com/problems/swim-in-rising-water/
876,Middle of the Linked List,80.7%,Easy,https://leetcode.com/problems/middle-of-the-linked-list/
904,Fruit Into Baskets,46.6%,Medium,https://leetcode.com/problems/fruit-into-baskets/
909,Snakes and Ladders,47.8%,Medium,https://leetcode.com/problems/snakes-and-ladders/
931,Minimum Falling Path Sum,61.3%,Medium,https://leetcode.com/problems/minimum-falling-path-sum/
950,Reveal Cards In Increasing Order,83.3%,Medium,https://leetcode.com/problems/reveal-cards-in-increasing-order/
977,Squares of a Sorted Array,73.2%,Easy,https://leetcode.com/problems/squares-of-a-sorted-array/
986,Interval List Intersections,72.7%,Medium,https://leetcode.com/problems/interval-list-intersections/
987,Vertical Order Traversal of a Binary Tree,51.5%,Hard,https://leetcode.com/problems/vertical-order-traversal-of-a-binary-tree/
1011,Capacity To Ship Packages Within D Days,72.3%,Medium,https://leetcode.com/problems/capacity-to-ship-packages-within-d-days/
1044,Longest Duplicate Substring,30.8%,Hard,https://leetcode.com/problems/longest-duplicate-substring/
1048,Longest String Chain,62.1%,Medium,https://leetcode.com/problems/longest-string-chain/
1146,Snapshot Array,36.7%,Medium,https://leetcode.com/problems/snapshot-array/
1268,Search Suggestions System,65.1%,Medium,https://leetcode.com/problems/search-suggestions-system/
1280,Students and Examinations,60.5%,Easy,https://leetcode.com/problems/students-and-examinations/
1378,Replace Employee ID With The Unique Identifier,83.6%,Easy,https://leetcode.com/problems/replace-employee-id-with-the-unique-identifier/
1534,Count Good Triplets,85.5%,Easy,https://leetcode.com/problems/count-good-triplets/
1631,Path With Minimum Effort,61.6%,Medium,https://leetcode.com/problems/path-with-minimum-effort/
2014,Longest Subsequence Repeated k Times,71.6%,Hard,https://leetcode.com/problems/longest-subsequence-repeated-k-times/
2099,Find Subsequence of Length K With the Largest Sum,57.4%,Easy,https://leetcode.com/problems/find-subsequence-of-length-k-with-the-largest-sum/
2338,Count the Number of Ideal Arrays,57.1%,Hard,https://leetcode.com/problems/count-the-number-of-ideal-arrays/
2402,Meeting Rooms III,43.9%,Hard,https://leetcode.com/problems/meeting-rooms-iii/
2427,Number of Common Factors,79.6%,Easy,https://leetcode.com/problems/number-of-common-factors/
2723,Add Two Promises,91.8%,Easy,https://leetcode.com/problems/add-two-promises/
2942,Find Words Containing Character,90.6%,Easy,https://leetcode.com/problems/find-words-containing-character/
2965,Find Missing and Repeated Values,83.5%,Easy,https://leetcode.com/problems/find-missing-and-repeated-values/
3110,Score of a String,91.8%,Easy,https://leetcode.com/problems/score-of-a-string/
3343,Count Number of Balanced Permutations,49.4%,Hard,https://leetcode.com/problems/count-number-of-balanced-permutations/
3373,Maximize the Number of Target Nodes After Connecting Trees II,73.2%,Hard,https://leetcode.com/problems/maximize-the-number-of-target-nodes-after-connecting-trees-ii/
43,Multiply Strings,42.4%,Medium,https://leetcode.com/problems/multiply-strings/
52,N-Queens II,76.8%,Hard,https://leetcode.com/problems/n-queens-ii/
57,Insert Interval,43.6%,Medium,https://leetcode.com/problems/insert-interval/
61,Rotate List,40.0%,Medium,https://leetcode.com/problems/rotate-list/
71,Simplify Path,48.0%,Medium,https://leetcode.com/problems/simplify-path/
72,Edit Distance,58.9%,Medium,https://leetcode.com/problems/edit-distance/
77,Combinations,73.0%,Medium,https://leetcode.com/problems/combinations/
82,Remove Duplicates from Sorted List II,50.0%,Medium,https://leetcode.com/problems/remove-duplicates-from-sorted-list-ii/
94,Binary Tree Inorder Traversal,78.7%,Easy,https://leetcode.com/problems/binary-tree-inorder-traversal/
101,Symmetric Tree,59.4%,Easy,https://leetcode.com/problems/symmetric-tree/
105,Construct Binary Tree from Preorder and Inorder Traversal,67.0%,Medium,https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal/
115,Distinct Subsequences,50.2%,Hard,https://leetcode.com/problems/distinct-subsequences/
119,Pascal's Triangle II,66.0%,Easy,https://leetcode.com/problems/pascals-triangle-ii/
127,Word Ladder,43.0%,Hard,https://leetcode.com/problems/word-ladder/
129,Sum Root to Leaf Numbers,68.6%,Medium,https://leetcode.com/problems/sum-root-to-leaf-numbers/
140,Word Break II,53.7%,Hard,https://leetcode.com/problems/word-break-ii/
150,Evaluate Reverse Polish Notation,55.1%,Medium,https://leetcode.com/problems/evaluate-reverse-polish-notation/
160,Intersection of Two Linked Lists,61.3%,Easy,https://leetcode.com/problems/intersection-of-two-linked-lists/
176,Second Highest Salary,44.0%,Medium,https://leetcode.com/problems/second-highest-salary/
179,Largest Number,41.4%,Medium,https://leetcode.com/problems/largest-number/
187,Repeated DNA Sequences,51.4%,Medium,https://leetcode.com/problems/repeated-dna-sequences/
188,Best Time to Buy and Sell Stock IV,47.3%,Hard,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iv/
229,Majority Element II,54.5%,Medium,https://leetcode.com/problems/majority-element-ii/
